name,URL,stars,type,rating,pitches,Length,latitude,longitude,id,location,grade,safety,Unnamed: 0
Beer Belly Blues,https://www.mountainproject.com/route/105851227/beer-belly-blues,1.0,Trad,5.9,1,40,33.9934,-116.06892,105851227,"['Prime Clump', 'Jumbo Rock Area', 'Joshua Tree National Park', 'California']",9,S,
Sunday Afternoon,https://www.mountainproject.com/route/105855352/sunday-afternoon,1.0,Trad,5.9,1,50,34.00071,-116.04616,105855352,"['Middle Creeper Rock', 'Creeper Rocks', 'Live Oak Picnic Area', 'Joshua Tree National Park', 'California']",9,S,
Route Canal,https://www.mountainproject.com/route/105855356/route-canal,1.0,Trad,5.9,1,50,34.00071,-116.04616,105855356,"['Middle Creeper Rock', 'Creeper Rocks', 'Live Oak Picnic Area', 'Joshua Tree National Park', 'California']",9,S,
Secret Treaties,https://www.mountainproject.com/route/105723964/secret-treaties,1.0,Trad,5.9,1,30,34.03514,-116.05199,105723964,"['Zsa Zsa Gabor Memorial Boulder', 'North Hollywood', 'Hollywood Area', 'OZ Area', 'Joshua Tree National Park', 'California']",9,S,
Stolen Christmas,https://www.mountainproject.com/route/105723352/stolen-christmas,1.0,Trad,5.9,1,60,34.07042,-116.16024,105723352,"['Grinch Rock', 'Atom Smasher Area', 'Wonderland North', 'Wonderland of Rocks', 'Joshua Tree National Park', 'California']",9,S,
Karl's Magic Goggles,https://www.mountainproject.com/route/118589712/karls-magic-goggles,1.0,TR,5.9+,1,65,34.02158,-116.17704,118589712,"['Dairy Queen Wall - Left Side', 'Dairy Queen Wall', 'Lost Horse Area', 'Joshua Tree National Park', 'California']",9,S,
Klettervergnugen,https://www.mountainproject.com/route/105725107/klettervergnugen,0.7,Trad,5.9,1,50,34.0966,-116.1576,105725107,"['Group Campsite  2', 'Group Campsites Road', 'Indian Cove', 'Joshua Tree National Park', 'California']",9,S,
Rehab,https://www.mountainproject.com/route/116709092/rehab,1.0,Trad,5.9,1,,34.01109,-116.16637,116709092,"['Turtle Rock - East Face', 'Turtle Rock', 'Real Hidden Valley Vicinity', 'Real Hidden Valley', 'Joshua Tree National Park', 'California']",9,S,
Unknown 1979,https://www.mountainproject.com/route/118069103/unknown-1979,1.0,Trad,5.9,1,120,34.08943,-116.15827,1180691031979,"['Wonder Bluffs', 'Indian Cove Campground', 'Indian Cove', 'Joshua Tree National Park', 'California']",9,S,
Mr. T,https://www.mountainproject.com/route/118614407/mr-t,1.0,Trad,5.9,1,30,34.03815,-116.18648,118614407,"['Mini Crag', 'Quail Springs Area', 'Joshua Tree National Park', 'California']",9,S,
Space Shuffle,https://www.mountainproject.com/route/116154096/space-shuffle,1.0,Sport,5.9,1,25,34.00169,-116.05943,116154096,"['Clever Rock', 'Jumbo Rock Area', 'Joshua Tree National Park', 'California']",9,S,
