Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Sanctuary (aka Book of Changes)","Bighorn Mating Grotto > Diarrhea Dome > Central Wonderland > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722434/sanctuary-aka-book-of-changes,2.9,-1,Trad,5.10b,1,100,34.05146,-116.14733
"Broken Wing","Owl Pinnacle > Diarrhea Dome > Central Wonderland > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/108009318/broken-wing,1.5,-1,Trad,5.10b,1,40,34.05153,-116.14687
"Original Route, The Podium","The Podium > Central Wonderland > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106704921/original-route-the-podium,3.0,-1,Trad,"5.10b PG13",1,60,34.04779,-116.14372
Ben,"Nomad Dome > East Wonderland Valley > Wonderland Valley > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722362/ben,1.8,-1,Trad,5.10b,1,125,34.04047,-116.13981
"I Can't Believe It's a Girdle","Freak Brothers Dome > East Wonderland Valley > Wonderland Valley > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722587/i-cant-believe-its-a-girdle,3.9,-1,Trad,"5.10b R",4,300,34.04285,-116.14436
"The Red Obelisk (aka Boogers on a Lampshade)","The Red Obelisk > East Wonderland Valley > Wonderland Valley > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722731/the-red-obelisk-aka-boogers-on-a-lampshade,2.0,-1,Trad,5.10b,1,40,34.04385,-116.14306
"Called on Account of Grain","Surprise Rock > East Wonderland Valley > Wonderland Valley > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106655831/called-on-account-of-grain,1.0,-1,TR,5.10b,1,120,34.04177,-116.14396
"Night Owl","Fat Freddie's Cat > East Wonderland Valley > Wonderland Valley > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/110100924/night-owl,2.0,-1,TR,5.10b,1,70,34.04347,-116.14372
Orbitty,"Pea Brain > East Wonderland Valley > Wonderland Valley > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/116382998/orbitty,1.0,-1,TR,5.10-,1,80,34.0437,-116.14234
Mesopotamia,"Mesopotamia Dome > East Wonderland Valley > Wonderland Valley > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107187811/mesopotamia,2.0,-1,Trad,5.10b,1,120,34.04143,-116.13946
