Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Solid Gold","South Astro Dome - Northeast Face > South Astro Dome > The Astro Domes > West Wonderland Valley > Wonderland Valley > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725788/solid-gold,3.5,-1,Trad,5.10a/b,2,200,34.03858,-116.14713
"Anty Matter","The Moonstone > West Wonderland Valley > Wonderland Valley > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/110095898/anty-matter,1.0,-1,Trad,"5.10a PG13",1,100,34.03977,-116.1487
"Cosmic Debris","The Moonstone > West Wonderland Valley > Wonderland Valley > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107105375/cosmic-debris,1.0,-1,Trad,5.10a,1,100,34.03977,-116.1487
"The Beating Heart","The Moonstone > West Wonderland Valley > Wonderland Valley > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106783900/the-beating-heart,2.0,-1,Trad,5.10-,1,60,34.03977,-116.1487
"Dollars and Sense","Bankrupt Wall > South Wonderland Approach > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106311324/dollars-and-sense,1.0,-1,TR,5.10a/b,1,50,34.03427,-116.14069
"War Games","Sergeant Rock > South Wonderland Approach > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105801039/war-games,1.7,-1,Trad,5.10a,1,60,34.03265,-116.13959
"School Daze","Sergeant Rock > South Wonderland Approach > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105930704/school-daze,2.0,-1,Trad,5.10a/b,1,50,34.03265,-116.13959
"Ash Gordon","Ash Gordon Rock > South Wonderland Approach > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107132036/ash-gordon,1.0,-1,Trad,5.10a,1,120,34.03187,-116.14073
"Minor Detour","Mighty Mouse Rock > South Wonderland Approach > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/108026417/minor-detour,1.0,-1,Trad,5.10a,1,30,34.03535,-116.1406
"Black Box","North 40 (aka Doolittle House Area) > Joshua Tree National Park > California",https://www.mountainproject.com/route/112208446/black-box,2.0,-1,Sport,5.10a,1,40,34.10523,-116.22744
